Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid,Gold_Spread,Sov_Old_Spread,Sov_New_Upto1973_Spread,Sov_New_Post1974_Spread
2009-05-18,21.53,24.14,159.23,188.17,159.23,188.17,159.23,188.17,-2.61,-28.94,-28.94,-28.94
2009-05-19,21.09,23.63,155.61,184.21,155.61,184.21,155.61,184.21,-2.54,-28.6,-28.6,-28.6
2009-05-21,21.23,23.78,156.21,186.04,156.21,186.04,156.21,186.04,-2.55,-29.83,-29.83,-29.83
2009-05-29,21.42,24.01,158.07,187.61,158.07,187.61,158.07,187.61,-2.59,-29.54,-29.54,-29.54
2009-06-02,21.26,23.93,155.79,186.64,155.79,186.64,155.79,186.64,-2.67,-30.85,-30.85,-30.85
2009-06-04,21.05,23.71,154.18,184.82,154.18,184.82,154.18,184.82,-2.66,-30.64,-30.64,-30.64
2009-06-05,21.29,23.98,156.44,187.22,156.44,187.22,156.44,187.22,-2.69,-30.78,-30.78,-30.78
2009-06-10,21.05,23.71,154.8,184.91,154.8,184.91,154.8,184.91,-2.66,-30.11,-30.11,-30.11
2009-06-15,20.73,23.37,151.99,182.16,151.99,182.16,151.99,182.16,-2.64,-30.17,-30.17,-30.17
2009-06-23,20.43,23.02,150.05,179.5,150.05,179.5,150.05,179.5,-2.59,-29.45,-29.45,-29.45
2009-06-25,20.71,23.32,151.85,181.99,151.85,181.99,151.85,181.99,-2.61,-30.14,-30.14,-30.14
2009-07-01,20.43,23.02,149.66,179.59,149.66,179.59,149.66,179.59,-2.59,-29.93,-29.93,-29.93
2009-07-10,20.2,22.77,148.07,177.98,148.07,177.98,148.07,177.98,-2.57,-29.91,-29.91,-29.91
2009-07-15,20.45,23.05,150.2,180.23,150.2,180.23,150.2,180.23,-2.6,-30.03,-30.03,-30.03
2009-07-21,20.64,23.24,151.35,181.83,151.35,181.83,151.35,181.83,-2.6,-30.48,-30.48,-30.48
2009-07-29,20.44,23.03,150.25,179.98,150.25,179.98,150.25,179.98,-2.59,-29.73,-29.73,-29.73
